,Level 1,Level 1 low,Level 1 high,Level 2,Level 2 low,Level 2 high,Level 3,Level 3 low,Level 3 high,Level 4,Level 4 low,Level 4 high,Level 5,Level 5 low,Level 5 high,Level 6,Level 6 low,Level 6 high,Level 7,Level 7 low,Level 7 high,Level 8,Level 8 low,Level 8 high,Level 9,Level 9 low,Level 9 high,Level 10,Level 10 low,Level 10 high
Topic 0,0.37907815183930116,0.35131840128592634,0.40534094857831104,0.25694305938022866,0.2211941420093878,0.2925788539626311,0.22446048935528967,0.18131606813891055,0.26655561653542326,0.16855795092789877,0.10559822923351905,0.23491516676605606,0.12813752317668042,0.06808850367068164,0.1937465020856882,0.090752701224547,0.00949065430105088,0.18856791803685236,0.03923007784047425,-0.027419129554646014,0.13827300641291776,0.05098489426377403,-0.036891938657497896,0.1695379707887885,0.15538425547304344,-0.054661175105756944,0.5075096457881831,-0.026785755841434368,-0.05634618912104126,0.03875704256958672
Topic 1,0.3564729316739417,0.33766467993210336,0.3768313619531857,0.1671388568362638,0.14499913907382048,0.18843386211658764,0.1594206444804865,0.13257888686883834,0.18994840310957045,0.11367744943227694,0.08108725723139444,0.1497746848090129,0.11267052273154911,0.062058930636751435,0.1630424646302081,0.06550026978583055,0.009049085023196492,0.13326616544731182,0.033941764969123815,-0.019130709257609624,0.09710522135371538,0.056228660490409456,-0.03418096472283932,0.1700890601855102,0.010908660065765003,-0.0776186489239388,0.1290564030375697,-0.006520230475171767,-0.11326040746926835,0.14746611826441475
Topic 2,0.3720776466773632,0.35489102848862036,0.3893076269505934,0.2761416349679981,0.2534008841957839,0.30246058144679433,0.17755952997390498,0.1523529103126654,0.20328086649288513,0.1358305189272139,0.10357964479332922,0.16890652711650822,0.09657046944179284,0.06094839716845285,0.13747300129801218,0.09051124365894614,0.030092668241938722,0.15525198410714086,0.10091150081054447,0.025835646831705947,0.18526992572529513,0.2004557825545217,0.04249080484583335,0.34898124528942115,0.09108789285477702,-0.03188320458132734,0.22631668623376996,0.026373489997244755,-0.09594187112947197,0.19128159230604155
Topic 3,0.2827605165593798,0.25728101493474514,0.3094954188642369,0.1850252731639014,0.1529748514752879,0.21576424929525123,0.14955960262162246,0.11676452190636143,0.18449499439435774,0.16223640482449653,0.11754331145213497,0.21254067851995265,0.10711269822573308,0.05581553317890655,0.17164241441123754,0.057932274834581805,0.012612409355085293,0.11195264140774015,0.09394571000180482,0.015312126175460492,0.18685838013356357,0.11070734450070202,-0.03764997948439253,0.3479721351755756,0.05909613836921663,-0.048939117717842796,0.28606836434591637,-0.04883676156288833,-0.08309918791870669,-0.030042762607578828
Topic 4,0.3456535965790086,0.3263519985799206,0.3649336850322309,0.22228969941012094,0.19921022307127623,0.24711663487214341,0.1828478092716751,0.15633244215986797,0.20959176830853432,0.15001734688252882,0.11467953623369687,0.18895863485226233,0.12095043333163535,0.07987082016696455,0.1647277290258952,0.07998888202501035,0.0190180077003021,0.14612266287959597,0.06124680620616364,-0.006779479428486536,0.13039002301522573,0.09430536108755416,-0.012035937497293297,0.2542551370117267,0.1161881308039638,-0.03355029859451944,0.30387904388530096,0.05692305628203056,-0.06507186967047153,0.3287543204693261
Topic 5,0.3762237094460621,0.3581020865918413,0.39326917280794804,0.21012289075994808,0.1889211599126288,0.2332803755750104,0.1457687286340122,0.12155844635649612,0.1717477915523718,0.13787914329216372,0.10079621323654976,0.17559858008365356,0.09263809194187275,0.05037564925312435,0.13561896111430888,0.051437121889334095,-0.011614544060270853,0.12404777103111483,0.09162737027854106,0.013146094546217636,0.18437747770125854,0.11004662623348979,0.004374041126666942,0.22496020234421676,0.07544681970672791,-0.03300612719796934,0.2341168297293321,0.22801728837481827,-0.04216122361567999,0.5014961940330579
Topic 6,0.2953016499836254,0.2679535752935728,0.3281652499192136,0.2086187952641757,0.1795635838618197,0.23781078325278493,0.1177151720806059,0.0877980716426428,0.14689185769229346,0.1700541898666596,0.11341297278546848,0.22637006786034583,0.07248055584226494,0.018412558662213103,0.1330169880233973,0.12834133690957245,0.05990488588059862,0.2108660840505028,0.19224384288858873,0.07894059653733801,0.3140867161120926,0.23332402916016662,0.08549321535748401,0.387651262169896,0.12478899114477598,-0.008391521443520301,0.3063846132111907,0.061449958200764536,-0.06713970989146653,0.2743541474579831
Topic 7,0.2683526515414383,0.25037786069939627,0.2854988924613884,0.18141623563906104,0.16470330613865303,0.19965407012087658,0.1364536394881793,0.11479803462325831,0.15884039019438081,0.1445204577430776,0.1182990248991735,0.17505867337410524,0.09116563253833647,0.054565708067555355,0.13172133217818807,0.13944777981214268,0.08293683795791114,0.194613949793519,0.08035119543345302,0.011075247999900983,0.15546798101130244,0.13814854916388428,0.0341900069062984,0.2413978589671437,0.09967032721223303,-0.01798531834732794,0.2437278732710024,0.25707063958275017,0.07262934064442751,0.4516185722186327
Topic 8,0.337991158620512,0.31457464562777593,0.36077091417780216,0.24909556487775542,0.22109617547557792,0.27925125855340793,0.18838676707788407,0.15683790872518424,0.21886811089362734,0.16441854736006273,0.11772493457836826,0.2101068074787605,0.09283946471491805,0.04764649719261183,0.1411250133594685,0.15316822886557824,0.07442367564631118,0.23621866729237753,0.21291751706426065,0.08000175145035902,0.3670554236243772,0.2045939972487024,0.06038151226263479,0.3538937249367302,0.13222328331543654,-0.031088865544038977,0.35304848441342224,0.10623762427043268,-0.07141587591548637,0.3606373013756992
Topic 9,0.17228523379104316,0.15582863151446955,0.1882664127881568,0.1330111929535841,0.11288573324731212,0.1538860033885151,0.09122077621537819,0.07130508005308515,0.1134109233994606,0.04958766807846468,0.021365609631260895,0.08096649064003583,0.07237480550327254,0.03798220290078384,0.11114614438666996,0.03507463657292964,-0.006552010270738959,0.08131857355038453,0.06064739241677035,-0.020809931143000955,0.1635624210365459,0.042328119957502824,-0.025931262086694835,0.12884277911410624,0.04014154051719903,-0.0858413773050739,0.1800099302004156,0.25472294700827897,0.0059942771804180825,0.5013970831117642
Topic 10,0.13123864903838361,0.11521023066868608,0.14668201453534,0.08466031788231473,0.06896313904683771,0.10113855773385022,0.04357028714036527,0.02383130815787481,0.06370543850198418,0.04722778175593937,0.021129779612472983,0.07585474739732408,0.05261193961838468,0.015404239352756343,0.09337049703737171,0.06398967259330182,0.009488779282582483,0.12699598847765778,0.004493751194695273,-0.045811212737365624,0.06385692047479438,0.04371630387240681,-0.06262761336739886,0.16460635920868708,-0.06409816018329491,-0.13133844666785452,0.004498366851830872,0.052359131146475696,-0.14749139562394772,0.3033066381418844
Topic 11,0.15372126908847597,0.1391039562362879,0.16816762852621386,0.10512797713122368,0.08901732962911073,0.1213011027509373,0.051906657561273495,0.03365734443189105,0.07030729151714227,0.06351747625886821,0.03702197584065282,0.09324515385860162,0.0673069292226242,0.03593364411730885,0.10199115065572707,0.029854205830778534,-0.01839712682001794,0.0841821358377911,0.032165838932985524,-0.03686082855932907,0.10751739485785894,0.020157049756096113,-0.08466753635971291,0.13633600230856785,-0.06016697200101615,-0.1606064530888477,0.06496709552957804,-0.13576226983982057,-0.20281422175566335,-0.062015451538287275
Topic 12,0.5330197562685055,0.512760541369295,0.5522264389223708,0.3350526831065781,0.31098402067049125,0.3610559664018499,0.2842638851426241,0.2533237068142144,0.3132950341301013,0.2322173328000685,0.19059342678287358,0.27560434656227867,0.217155939810058,0.16091095052130927,0.27004832790914357,0.1696991956340359,0.10115429442009315,0.24080532720268719,0.24530960441887012,0.12851094023375303,0.36980907756714815,0.21095165065666235,0.025887544045419437,0.39320766120180406,0.23480188572271934,0.03383792328215299,0.43159656459049045,0.07737368492013967,-0.08536015309541195,0.2946005835273348
Topic 13,0.4978188843676945,0.47399762486922437,0.5211648639850261,0.3370298597135527,0.30721997637769277,0.3667993432704351,0.29128796668409207,0.2552770670446146,0.323232581718116,0.24429511649893237,0.19349621534373967,0.2969781622288751,0.21063852378343398,0.1490737577373916,0.2771062598401878,0.17912270434400654,0.08661401048668865,0.2730290180453095,0.22513631300879788,0.07238528626758534,0.37664575780891557,0.07836090651363352,0.006336484609333042,0.17870928007367087,0.29438766010532075,0.0175421026045077,0.4864671888598894,0.10841825612816902,-0.1307524337398786,0.40215058253731445
Topic 14,0.441536013689667,0.41573890467401187,0.4660460436552897,0.29109943535780786,0.2634972640302135,0.31927208327444623,0.25718253390873946,0.2208981316784271,0.29161131916294836,0.16889519666985636,0.12696223078860966,0.21219969556468166,0.21034017107829844,0.1465839156117488,0.27785165952405805,0.09585311270169695,0.0347978805201495,0.17683019351582085,0.14928759539471997,0.016386000559908107,0.2982354397732148,0.07757489540951941,-0.024032448616875264,0.21588273537571276,0.20486280498145512,-0.04054441821701013,0.43523498097017366,0.0685027321787473,-0.08392355366492499,0.3524020885447586
Topic 15,0.5065338143008009,0.479572006238201,0.532481400472921,0.3439517366485043,0.3065156846322692,0.38131008473437145,0.32226016929392076,0.28068242070424543,0.36294904282970253,0.2231251712601587,0.16988821896666326,0.27723053630651345,0.2248556135088119,0.13850347037225305,0.31110137866042653,0.17530597792060076,0.06376101487794773,0.2834585015514863,0.11425703697580027,0.010817821388103872,0.22644545051886147,0.022830524637575407,-0.0426247937299109,0.09554259952849004,-0.0011031195884808115,-0.04358252311754211,0.0846836905403722,0.06341755978150496,-0.048468407326907034,0.31705900775159696
Topic 16,0.33071945996339674,0.3149468858071397,0.34855454688228765,0.24360992373913537,0.22367606927813935,0.26401167017132277,0.15766422971441255,0.13435436191470193,0.1818691389034076,0.12950528452504634,0.09649186559014483,0.16406829889518681,0.07059689610405792,0.03199533631721079,0.10662090395233406,0.10886842029095835,0.05183194837349445,0.17388526285680342,0.0776906884381772,0.014331349903848944,0.15185779638642424,0.006418162871937154,-0.06507193768938847,0.09631252800937887,0.20034671532432316,0.052014053153900744,0.3393999129684662,0.1899194916936464,0.009470665755564078,0.36340684482028845
Topic 17,0.4672772576789733,0.4490842681169296,0.4855534065882743,0.29822630273730877,0.2721298532394019,0.3229488829419493,0.23891100046235808,0.20655183924591136,0.2721964452968904,0.13878893228147146,0.10625788619573111,0.17490371640190677,0.11755519878589864,0.0759497405612295,0.16517412294649406,0.055313222313321114,0.009398457965742455,0.10498426342428992,0.14272381917473942,0.04842633185526955,0.2466772519151707,0.03077150008781116,-0.05406780748072805,0.12828583123171325,0.030809713916080714,-0.07780865741062505,0.19733492048829934,0.23946954491498332,-0.019553411699333462,0.4893936632344286
Topic 18,0.4367314972373908,0.41901755683199216,0.4536070776921112,0.24510522372852517,0.22098469868780957,0.26984259937137145,0.2293632888914276,0.20241094375679203,0.2598099680704675,0.17564090186904072,0.1340577385725099,0.21836042087259758,0.1485851302453873,0.09958935120373633,0.1994316961147905,0.20188391413818027,0.13206382308079617,0.27626422397835354,0.04220953619426612,-0.03489340085951167,0.13891203052359974,0.1784070850072183,0.032614634008136856,0.32500082158310656,0.1148460875606778,-0.04802555229450705,0.29155953933100714,-0.017442897504194654,-0.09149513987130187,0.07069728669753839
Topic 19,0.6083022647510328,0.5838179780878126,0.63247544802538,0.4401798510990572,0.4079954895987611,0.4725221893085999,0.3861003812454178,0.34347647511493423,0.42830214224489566,0.34323052103419227,0.2795850151489706,0.40507081081376745,0.3228413548974966,0.23535711241147916,0.4048121117830942,0.21093764867271245,0.0961717927713845,0.3333421016964234,0.30689458854431606,0.11277100194293978,0.49942497843431544,0.2151418903207914,0.0560253554254428,0.3838727683490405,-0.012218885068963369,-0.05373842827429341,0.06676437182310502,-0.05817799208820297,-0.09562659455523077,-0.010981620338399924
Topic 20,0.11428803058460812,0.09980116240297367,0.1297759627285352,0.0794563305526994,0.06429334668764503,0.09487022403293499,0.03922273118199996,0.021992874286361118,0.05754699541916418,0.06253077576552021,0.03414026601677622,0.09140857560505991,0.06091547968145519,0.02133790231338448,0.10383090822618334,0.03875126069650675,-0.0017363109148607388,0.0853778837171616,0.021729257117158503,-0.034140307120639986,0.07885261327603416,0.02825022392538345,-0.06763824394967909,0.11958881838618672,0.11043824186303901,0.005958864700616411,0.2073276340823468,0.031798208550790526,-0.11406984852890699,0.20660938048239616
Topic 21,0.2656044084908245,0.2490004134209125,0.2809091609036197,0.152506006265738,0.13082533191848922,0.1737238334593459,0.08818783766443866,0.06437695195287534,0.11159271358875962,0.0633627545087002,0.03550397304367633,0.09287648937801364,0.039002737287058616,0.00025946938833233083,0.08412326749835192,0.005818272411369702,-0.0330600426082215,0.049350531985508435,0.058882093857492955,-0.035966036401323336,0.16189466730900717,0.035407861718316495,-0.045028662212222126,0.13743948219510635,-0.04389951203930858,-0.1005705910851337,0.03165933717766963,-0.07813858117392353,-0.1562811102764773,0.05177805225028628
Topic 22,0.6466863752403758,0.6145282595845493,0.6739256143693655,0.5030776766556948,0.4604277753605368,0.5420292751076877,0.38006981366421044,0.3189762665034608,0.4304378200977217,0.26885345077314277,0.18524826434236671,0.35235785339937403,0.2650992943152153,0.15837544589951588,0.37048087512726635,0.18347721009814938,0.0668510756803197,0.3112422289583225,0.061332245652548446,-0.02362073539187853,0.18125597631594753,0.071213382604946,-0.042124492262145215,0.24664745293468412,0.14704601066359094,-0.036391796373527935,0.3471938373827567,0.022493901284493054,-0.07097203805494552,0.23459059644388122
Topic 23,0.42502729209873213,0.40368883416578794,0.44768689534097467,0.25487126291615947,0.2286921001767325,0.28150289156197755,0.24903297988602563,0.2130784287865484,0.2867011365236653,0.17637445635441498,0.1312966679004086,0.2197226289764275,0.15211404441552492,0.09897353943756862,0.20881389981119014,0.13259452343781294,0.05401186863292715,0.21042892613733785,0.08669663462188286,-0.026100424202441283,0.20431256151506536,0.08103561487804713,-0.04997207514630944,0.22719398802554533,-0.011047915964630397,-0.06265284590555631,0.07104618697374378,0.02525987285407984,-0.09018543568476721,0.22126424052022417
Topic 24,0.28463616402666814,0.26506235853077986,0.30248740067524643,0.21521139379052207,0.19172117544451,0.24055391248913713,0.19138105843647085,0.16362937149364748,0.21922804851872013,0.13481091576584747,0.10326552056786382,0.166357550953977,0.13386293509396735,0.08991202794016426,0.18064915391831607,0.10301208028377448,0.05412736699505276,0.15972965398488928,0.0985432072307469,0.01983735533494311,0.19170020655450784,0.15138733004942415,0.04701023146279389,0.2704790615506384,0.1383832212206546,0.02354775810229918,0.28333836986611766,0.0013249953169013721,-0.08526446258100379,0.1354393663749915
